airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,review_url
Spirit,$263 ,EWR 6:30 AM,LAX 8:38 PM,17h 8m,FlyScore: 4.8,2.5 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729157-Reviews-Cheap-Flights-Spirit-Airlines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 11:51 PM,17h 31m,FlyScore: 4.4,2.5 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
United,$299 ,EWR 7:35 PM,LAX 1:37 AM+1,9h 2m,FlyScore: 7.1,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Delta,,JFK 3:30 PM,LAX 6:26 PM,5h 56m,FlyScore: 8.6,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Cheap-Flights-Delta-Air-Lines#REVIEWS
Sun Country,$320 ,JFK 11:35 AM,LAX 10:55 PM,14h 20m,FlyScore: 6.4,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
Sun Country,$320 ,JFK 8:00 AM,LAX 10:55 PM,17h 55m,NA,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
United,$325 ,LGA 5:00 PM,LAX 1:37 AM+1,11h 37m,NA,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$326 ,LGA 7:03 PM,LAX 1:37 AM+1,9h 34m,NA,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$326 ,LGA 6:00 PM,LAX 1:37 AM+1,10h 37m,NA,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Virgin America,$328 ,EWR 7:10 PM,LAX 8:25 AM+1,16h 15m,FlyScore: 7.2,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Sun Country,$329 ,JFK 11:35 AM,LAX 5:15 PM,8h 40m,FlyScore: 6.9,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
United,$329 ,EWR 6:35 PM,LAX 1:37 AM+1,10h 2m,FlyScore: 7.2,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
American,$335 ,LGA 4:59 PM,LAX 10:51 PM,8h 52m,FlyScore: 7.3,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$335 ,LGA 3:59 PM,LAX 10:51 PM,9h 52m,FlyScore: 7.2,3 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
Sun Country,$335 ,JFK 8:00 AM,LAX 5:15 PM,12h 15m,NA,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
Sun Country,$335 ,JFK 7:00 AM,LAX 5:15 PM,13h 15m,FlyScore: 6.5,4 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
Spirit,$344 ,LGA 4:49 PM,LAX 10:26 PM,8h 37m,FlyScore: 5.2,2.5 of 5 bubbles,12/24/2017,https://www.tripadvisor.com/Airline_Review-d8729157-Reviews-Cheap-Flights-Spirit-Airlines#REVIEWS
