airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,review_url
Frontier,$259 ,LGA 9:20 AM,LAX 6:14 PM,11h 54m,FlyScore: 4.8,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$259 ,LGA 9:20 AM,LAX 6:14 PM,11h 54m,FlyScore: 4.8,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 11:51 PM,17h 31m,FlyScore: 4.4,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Delta,,JFK 6:15 PM,LAX 9:11 PM,5h 56m,FlyScore: 8.6,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Cheap-Flights-Delta-Air-Lines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 8:39 AM+1,26h 19m,FlyScore: 3.7,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 8:39 AM+1,26h 19m,FlyScore: 3.7,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Alaska,$266 ,LGA 3:32 PM,LAX 10:08 PM,9h 36m,FlyScore: 6.8,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$266 ,LGA 6:30 AM,LAX 2:00 PM,10h 30m,FlyScore: 6.8,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Spirit,$294 ,EWR 11:45 AM,LAX 5:45 PM,9h 0m,FlyScore: 5.3,2.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729157-Reviews-Cheap-Flights-Spirit-Airlines#REVIEWS
Virgin America,$310 ,JFK 7:50 AM,LAX 4:17 PM,11h 27m,FlyScore: 7.6,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$310 ,JFK 7:50 AM,LAX 4:17 PM,11h 27m,FlyScore: 7.6,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$316 ,JFK 7:50 AM,LAX 8:38 PM,15h 48m,FlyScore: 7.3,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$316 ,JFK 7:50 AM,LAX 8:38 PM,15h 48m,FlyScore: 7.3,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$320 ,EWR 3:45 PM,LAX 12:25 AM+1,11h 40m,FlyScore: 7.4,4.5 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729017-Reviews-Cheap-Flights-Alaska-Airlines#REVIEWS
Virgin America,$326 ,JFK 7:50 AM,LAX 7:00 PM,14h 10m,FlyScore: 7.4,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$326 ,JFK 7:50 AM,LAX 7:00 PM,14h 10m,FlyScore: 7.4,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$332 ,JFK 4:35 PM,LAX 10:35 PM,9h 0m,FlyScore: 7.8,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$332 ,JFK 4:35 PM,LAX 10:35 PM,9h 0m,FlyScore: 7.8,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$332 ,JFK 9:30 AM,LAX 5:47 PM,11h 17m,FlyScore: 7.6,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$332 ,JFK 9:30 AM,LAX 5:47 PM,11h 17m,FlyScore: 7.6,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
American,$335 ,LGA 10:30 AM,LAX 5:35 PM,10h 5m,FlyScore: 7.4,3 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$335 ,LGA 9:30 AM,LAX 5:35 PM,11h 5m,FlyScore: 7.3,3 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
Virgin America,$336 ,JFK 7:50 AM,LAX 5:47 PM,12h 57m,FlyScore: 6.7,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$336 ,JFK 7:50 AM,LAX 5:47 PM,12h 57m,FlyScore: 6.7,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$336 ,JFK 7:50 AM,LAX 5:47 PM,12h 57m,FlyScore: 6.7,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$338 ,JFK 9:30 AM,LAX 7:24 PM,12h 54m,FlyScore: 7.5,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$338 ,JFK 9:30 AM,LAX 7:24 PM,12h 54m,FlyScore: 7.5,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$338 ,JFK 9:30 AM,LAX 8:18 PM,13h 48m,FlyScore: 7.4,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$338 ,JFK 9:30 AM,LAX 8:18 PM,13h 48m,FlyScore: 7.4,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$338 ,JFK 9:30 AM,LAX 9:35 PM,15h 5m,FlyScore: 7.3,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$338 ,JFK 9:30 AM,LAX 9:35 PM,15h 5m,FlyScore: 7.3,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$338 ,JFK 9:30 AM,LAX 10:35 PM,16h 5m,FlyScore: 7.2,4 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$341 ,LGA 5:55 AM,LAX 11:21 AM,8h 26m,FlyScore: 7.3,3 of 5 bubbles,12/25/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
