airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,review_url
United,$129 ,EWR 2:25 PM,LAX 5:43 PM,6h 18m,FlyScore: 8.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$129 ,EWR 5:30 PM,LAX 8:48 PM,6h 18m,FlyScore: 8.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$129 ,EWR 3:00 PM,LAX 6:20 PM,6h 20m,FlyScore: 8.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$129 ,EWR 8:59 PM,LAX 12:20 AM+1,6h 21m,FlyScore: 8.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$129 ,EWR 7:05 AM,LAX 10:28 AM,6h 23m,NA,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Virgin America,$129 ,EWR 12:30 PM,LAX 3:54 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$129 ,EWR 12:30 PM,LAX 3:54 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$129 ,EWR 6:20 PM,LAX 9:47 PM,6h 27m,NA,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Virgin America,$129 ,EWR 4:07 PM,LAX 7:40 PM,6h 33m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$129 ,EWR 4:07 PM,LAX 7:40 PM,6h 33m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$129 ,EWR 5:55 PM,LAX 9:30 PM,6h 35m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$129 ,EWR 5:55 PM,LAX 9:30 PM,6h 35m,FlyScore: 8.6,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Sun Country,$132 ,JFK 11:35 AM,LAX 5:20 PM,8h 45m,FlyScore: 6.9,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8700105-Reviews-Cheap-Flights-Sun-Country-Airlines#REVIEWS
Alaska,$135 ,LGA 3:32 PM,LAX 9:59 PM,9h 27m,FlyScore: 6.8,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$135 ,LGA 6:30 AM,LAX 1:48 PM,10h 18m,FlyScore: 6.8,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
American,$136 ,EWR 11:40 AM,LAX 5:25 PM,8h 45m,FlyScore: 7.2,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$136 ,EWR 1:00 PM,LAX 6:50 PM,8h 50m,FlyScore: 7.2,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$136 ,EWR 11:40 AM,LAX 6:50 PM,10h 10m,FlyScore: 7.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$136 ,EWR 9:50 AM,LAX 5:25 PM,10h 35m,FlyScore: 7.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 10:15 AM,LAX 3:42 PM,8h 27m,FlyScore: 6.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 9:05 AM,LAX 2:37 PM,8h 32m,FlyScore: 7.8,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 5:35 PM,LAX 11:07 PM,8h 32m,FlyScore: 7.8,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 5:59 PM,LAX 11:57 PM,8h 58m,FlyScore: 7.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 6:20 AM,LAX 12:27 PM,9h 7m,FlyScore: 7.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 8:30 AM,LAX 2:40 PM,9h 10m,FlyScore: 7.6,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 9:05 AM,LAX 3:57 PM,9h 52m,FlyScore: 7.4,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 5:35 PM,LAX 12:32 AM+1,9h 57m,FlyScore: 7.7,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 6:20 AM,LAX 1:40 PM,10h 20m,FlyScore: 7.5,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$137 ,EWR 12:50 PM,LAX 9:02 PM,11h 12m,FlyScore: 7.5,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
JetBlue,$139 ,JFK 9:35 PM,LAX 1:02 AM+1,6h 27m,FlyScore: 8.8,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729099-Reviews-Cheap-Flights-JetBlue#REVIEWS
American,$139 ,JFK 11:00 AM,LAX 2:34 PM,6h 34m,FlyScore: 8.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
JetBlue,$139 ,JFK 3:25 PM,LAX 7:04 PM,6h 39m,FlyScore: 8.8,4 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729099-Reviews-Cheap-Flights-JetBlue#REVIEWS
American,$139 ,JFK 2:30 PM,LAX 6:11 PM,6h 41m,FlyScore: 8.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$139 ,JFK 7:00 AM,LAX 10:51 AM,6h 51m,FlyScore: 8.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$139 ,JFK 9:15 PM,LAX 1:06 AM+1,6h 51m,FlyScore: 8.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$139 ,JFK 6:00 AM,LAX 9:54 AM,6h 54m,FlyScore: 8.1,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
United,$143 ,LGA 9:06 AM,LAX 3:35 PM,9h 29m,FlyScore: 6.4,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$143 ,LGA 7:50 AM,LAX 2:55 PM,10h 5m,FlyScore: 6.9,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$147 ,LGA 10:00 AM,LAX 2:55 PM,7h 55m,NA,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$147 ,LGA 3:00 PM,LAX 7:59 PM,7h 59m,NA,3 of 5 bubbles,1/16/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
