airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,review_url
Frontier,$259 ,LGA 9:20 AM,LAX 6:14 PM,11h 54m,FlyScore: 4.8,2.5 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$259 ,LGA 9:20 AM,LAX 6:14 PM,11h 54m,FlyScore: 4.8,2.5 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 11:51 PM,17h 31m,FlyScore: 4.4,2.5 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Delta,,JFK 9:00 PM,LAX 11:56 PM,5h 56m,FlyScore: 8.2,4 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Cheap-Flights-Delta-Air-Lines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 8:39 AM+1,26h 19m,FlyScore: 3.7,2.5 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Frontier,$265 ,LGA 9:20 AM,LAX 8:39 AM+1,26h 19m,FlyScore: 3.7,2.5 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729213-Reviews-Cheap-Flights-Frontier-Airlines#REVIEWS
Alaska,$305 ,LGA 6:30 AM,LAX 2:00 PM,10h 30m,FlyScore: 6.8,4 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$318 ,EWR 6:15 PM,LAX 9:19 PM,6h 4m,NA,3 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$318 ,EWR 8:45 AM,LAX 11:56 AM,6h 11m,NA,3 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$318 ,EWR 3:00 PM,LAX 6:20 PM,6h 20m,FlyScore: 8.6,3 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$318 ,EWR 6:30 AM,LAX 9:51 AM,6h 21m,FlyScore: 8.6,3 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$318 ,EWR 9:59 PM,LAX 1:20 AM+1,6h 21m,FlyScore: 8.6,3 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Alaska,$318 ,EWR 5:55 PM,LAX 9:23 PM,6h 28m,FlyScore: 8.6,4 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$318 ,EWR 5:55 PM,LAX 9:23 PM,6h 28m,FlyScore: 8.6,4 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$318 ,JFK 7:00 AM,LAX 10:33 AM,6h 33m,FlyScore: 8.6,4 of 5 bubbles,12/30/2017,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
