airline_name,flight_cost,depart_time,arrive_time,flight_duration,flight_flyscore,airline_rating,date,review_url
Alaska,$135 ,LGA 3:32 PM,LAX 9:59 PM,9h 27m,FlyScore: 6.8,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$144 ,EWR 2:25 PM,LAX 5:43 PM,6h 18m,FlyScore: 8.6,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$144 ,EWR 5:30 PM,LAX 8:48 PM,6h 18m,FlyScore: 8.6,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$144 ,EWR 3:00 PM,LAX 6:20 PM,6h 20m,FlyScore: 8.6,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Virgin America,$144 ,JFK 11:30 AM,LAX 2:52 PM,6h 22m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,JFK 11:30 AM,LAX 2:52 PM,6h 22m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$144 ,EWR 7:05 AM,LAX 10:28 AM,6h 23m,NA,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
Alaska,$144 ,EWR 12:30 PM,LAX 3:54 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$144 ,EWR 12:30 PM,LAX 3:54 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$144 ,JFK 1:00 PM,LAX 4:24 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,JFK 1:00 PM,LAX 4:24 PM,6h 24m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
United,$144 ,EWR 6:20 PM,LAX 9:47 PM,6h 27m,NA,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
JetBlue,$144 ,JFK 9:35 PM,LAX 1:02 AM+1,6h 27m,FlyScore: 8.8,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729099-Reviews-Cheap-Flights-JetBlue#REVIEWS
Virgin America,$144 ,JFK 7:00 AM,LAX 10:29 AM,6h 29m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,JFK 7:00 AM,LAX 10:29 AM,6h 29m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$144 ,EWR 4:07 PM,LAX 7:40 PM,6h 33m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,EWR 4:07 PM,LAX 7:40 PM,6h 33m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
JetBlue,$144 ,JFK 8:30 AM,LAX 12:05 PM,6h 35m,FlyScore: 8.8,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729099-Reviews-Cheap-Flights-JetBlue#REVIEWS
Virgin America,$144 ,EWR 5:55 PM,LAX 9:30 PM,6h 35m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,EWR 5:55 PM,LAX 9:30 PM,6h 35m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$144 ,JFK 4:55 PM,LAX 8:33 PM,6h 38m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Alaska,$144 ,JFK 4:55 PM,LAX 8:33 PM,6h 38m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
JetBlue,$144 ,JFK 3:25 PM,LAX 7:04 PM,6h 39m,FlyScore: 8.8,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729099-Reviews-Cheap-Flights-JetBlue#REVIEWS
Alaska,$144 ,JFK 8:05 PM,LAX 11:45 PM,6h 40m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
Virgin America,$144 ,JFK 8:05 PM,LAX 11:45 PM,6h 40m,FlyScore: 8.6,4 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729181-Reviews-Cheap-Flights-Virgin-America#REVIEWS
American,$144 ,JFK 7:00 AM,LAX 10:51 AM,6h 51m,FlyScore: 8.1,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$144 ,JFK 6:00 AM,LAX 9:54 AM,6h 54m,FlyScore: 8.1,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
United,$148 ,LGA 9:06 AM,LAX 3:35 PM,9h 29m,FlyScore: 6.4,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$148 ,LGA 8:00 AM,LAX 2:55 PM,9h 55m,FlyScore: 6.9,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$149 ,EWR 10:15 AM,LAX 1:27 PM,6h 12m,FlyScore: 8.6,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
United,$149 ,EWR 12:00 PM,LAX 3:12 PM,6h 12m,FlyScore: 8.6,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-Cheap-Flights-United-Airlines#REVIEWS
American,$151 ,EWR 5:00 AM,LAX 10:20 AM,8h 20m,FlyScore: 6.9,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
American,$151 ,JFK 6:39 AM,LAX 12:06 PM,8h 27m,FlyScore: 7.5,3 of 5 bubbles,1/18/2018,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-Cheap-Flights-American-Airlines#REVIEWS
